playerName,birthdate,matchShare,squadName,competitionName,Build_Up_Passing_Score,Defensive_Ability_Score,Final_Third_Quality_Score,Overall_RWB_Score,Build_Up_Passing_Score_Percentile_League,Defensive_Ability_Score_Percentile_League,Final_Third_Quality_Score_Percentile_League,Overall_RWB_Score_Percentile_League,Age,Cluster
Leyser Chaverra,1997-04-01,13.0098,Independiente Medellín,Liga Dimayor I,1.5747898974513517,0.8304233211499804,0.762449188245294,0.9487082766031458,97.5609756097561,95.1219512195122,92.6829268292683,100.0,28,2
Carlos Sánchez,2002-04-13,10.0263,CF Pachuca,Liga MX Apertura,0.8538160229415098,0.7375784414382847,1.1420470500193929,0.9428368316004284,94.73684210526316,84.21052631578947,100.0,100.0,23,2
Alexander González,1992-09-13,8.9904,CS Emelec,LigaPro Serie A Primera Etapa,1.2045029314438198,0.2330937933426779,1.3450133285447137,0.9277394118038224,100.0,70.0,100.0,100.0,32,2
Alessio Guerini,2004-06-11,21.3479,FC Crotone,Serie C - Girone C,0.6175710486939588,1.5348223505909575,0.5712569374324052,0.9177676542902092,77.27272727272727,100.0,90.9090909090909,100.0,20,0
Diego Ruíz,1997-10-02,9.3002,Boyacá Patriotas,Liga Dimayor I,0.819789929229814,0.6837038339038415,1.0928778869886762,0.8950493768572115,92.6829268292683,87.8048780487805,100.0,97.5609756097561,27,2
Agustín Lagos,2001-10-09,14.4124,Club Atlético Tucumán,Liga Profesional de Fútbol,0.4846377770945841,1.4444724821662225,0.5776100970573267,0.8624174678528918,71.15384615384616,98.07692307692308,88.46153846153845,100.0,23,0
Jimmy Muitt,1995-10-07,12.6836,Dorking Wanderers,National League South,-0.0178331300765116,0.3557324486613827,1.6392232090400918,0.858590175084223,54.166666666666664,75.0,100.0,100.0,29,2
Juanjo Nieto,1994-10-03,10.3061,NK Celje,Prva Liga,1.5903726478284363,0.7457643782479303,0.6152728669451698,0.8559648520777893,100.0,92.3076923076923,84.61538461538461,100.0,30,0
Denzel De Roeve,2004-08-10,12.5433,Club NXT,Challenger Pro League,0.8397267862565316,1.2889653122213396,0.5139148107548818,0.850344881368472,88.88888888888889,100.0,88.88888888888889,100.0,20,0
Gastón Benavídez,1995-10-23,35.1867,Club Atlético Talleres,Liga Profesional de Fútbol,1.1029707013529186,0.1202901862652447,1.294406263054562,0.8451785238379723,92.3076923076923,65.38461538461539,100.0,98.07692307692308,29,2
Bart van Rooij,2001-05-26,22.2499,FC Twente Enschede,Eredivisie,1.4466445082484003,0.1530987493964409,1.087780653624941,0.8324147580696579,100.0,73.68421052631578,94.73684210526316,100.0,23,2
Maksims Tonisevs,2000-05-12,15.7223,Valmiera FC,Virsliga,0.8810794604173351,1.3287135497668867,0.4207857563060958,0.8306192248396204,90.0,100.0,80.0,100.0,25,0
Martin Linnes,1991-09-20,13.3694,Molde FK,Eliteserien,0.5600670877235,0.2766440365861412,1.3671060148725378,0.8240365370424916,80.76923076923077,76.92307692307693,100.0,100.0,33,2
Pijus Sirvys,1998-04-01,16.1184,NK Maribor,Prva Liga,1.215643626885209,0.7473188892692929,0.7008687710972159,0.8200812836150415,92.3076923076923,100.0,92.3076923076923,92.3076923076923,27,2
Nils Butzen,1993-04-02,9.553,FC Carl Zeiss Jena,Regionalliga Nordost,1.4170371770639076,0.4962204849580044,0.7956921064754371,0.8151460530620298,100.0,78.57142857142857,92.85714285714286,92.85714285714286,32,2
Aarón Herrera,1997-06-06,24.2736,D.C. United,Major League Soccer,0.6013586069270425,0.9310451508459876,0.8099323154787825,0.8106070661469564,89.1891891891892,91.8918918918919,91.8918918918919,100.0,27,0
Kengo Kitazume,1992-04-30,12.5976,Shimizu S-Pulse,J2 League,1.238856247717477,0.1548504245646121,1.119761858907213,0.8058617346493554,94.44444444444444,61.111111111111114,94.44444444444444,100.0,33,2
Tayvon Gray,2002-08-19,17.2954,New York City FC,Major League Soccer,0.3573150033593983,0.3399839868761475,1.34918962263758,0.7975927262654423,70.27027027027027,67.56756756756756,97.2972972972973,97.2972972972973,22,2
Christian Borchgrevink,1999-05-11,21.054,Vålerenga Fotball,OBOS-ligaen,1.5764341722650304,0.6784274045086349,0.5362191329027088,0.7940350358372472,100.0,95.0,90.0,100.0,26,0
Gabriel Cléùr,1998-01-31,12.068,Western Sydney Wanderers,A-League Men,1.0143234426761525,0.6749403022595848,0.7885730250999363,0.7939516556210566,100.0,90.9090909090909,90.9090909090909,100.0,27,2
Óscar Mingueza,1999-05-13,11.5166,Celta Vigo,LaLiga,1.8772028341005924,-0.7055966021067347,1.4729878781009775,0.7913263012282012,100.0,17.391304347826086,100.0,100.0,26,2
Érick Aguirre,1997-02-23,10.9654,CF Monterrey,Liga MX Apertura,0.3483188619682797,1.2607729386792814,0.6108752751964567,0.7858281747698099,78.94736842105263,100.0,89.47368421052632,94.73684210526316,28,0
Ángel Ortiz,2004-07-25,11.2355,Betis Sevilla Deportivo,Primera Federación - Grupo II,1.0272678111613631,0.1943564149246243,1.1155610917359486,0.775480798737068,88.46153846153845,61.53846153846154,100.0,100.0,20,2
Cammy Kerr,1995-09-10,11.5094,Queen's Park FC,Scottish Championship,0.8217916301602249,1.183545404877362,0.4330063747276487,0.7734520863665636,77.77777777777779,88.88888888888889,77.77777777777779,100.0,29,0
Ástbjörn Thórdarson,1999-07-26,12.4441,FH Hafnarfjördur,Besta deild,0.3233167503677445,1.2706441172441,0.5863927218869527,0.7732655159581125,60.0,100.0,93.33333333333331,100.0,25,0
Shawn Smart,2004-02-24,21.6013,Las Vegas Lights FC,USL Championship,0.9491095295120155,0.8986062560559844,0.5954105907745336,0.7722688613705377,94.5945945945946,94.5945945945946,83.78378378378379,100.0,21,0
Robin Krolikowski,1999-03-02,11.3087,SSV Jeddeloh II,Regionalliga Nord,0.9385443672009892,0.742234602030763,0.7202640239321962,0.7716097949204531,94.73684210526316,89.47368421052632,89.47368421052632,100.0,26,2
Joe Felix,1999-09-29,18.5872,York City,National League,1.289101666800614,0.1824844333944056,0.993722373369308,0.7688649530643533,97.2972972972973,48.64864864864865,100.0,100.0,25,2
James Tavernier,1991-10-31,20.3503,Glasgow Rangers,Scottish Premiership,1.2679134766777034,0.4915292278874187,0.761228503282838,0.7681707515734143,87.5,81.25,87.5,100.0,33,2
Alan García,1999-09-14,9.751,Cerro Largo FC,Primera División Apertura,0.4226794711493949,1.4805065375988078,0.3616063342561174,0.7654360328047146,72.72727272727273,100.0,83.63636363636363,100.0,25,0
Ognjen Mimovic,2004-08-17,9.7016,Roter Stern Belgrad,Super liga Srbije,1.0997951655209155,-0.0516342847199675,1.2416272794306549,0.7606193091959891,94.73684210526316,47.368421052631575,100.0,100.0,20,2
Achraf Hakimi,1998-11-04,12.091,FC Paris Saint-Germain,UEFA Champions League,0.9426763462519148,0.6308458637687637,0.7738000621033927,0.7575413495159771,100.0,80.0,100.0,100.0,26,2
Yan Couto,2002-06-03,8.457,Borussia Dortmund,1. Bundesliga,0.9791119960326302,0.8853154970052397,0.5489683422439904,0.7527185771681557,95.0,90.0,90.0,100.0,22,0
Mayke,1992-11-10,9.7757,SE Palmeiras São Paulo,Campeonato Brasileiro Série A,0.8804185972654143,1.286998693739398,0.2728781567866551,0.749328432815867,88.57142857142857,100.0,68.57142857142857,100.0,32,0
Bandar Mohamed,1990-07-09,13.0925,Al-Ain FC,UAE Pro League,0.939422490558501,-0.585566724872258,1.700384987608888,0.7481093888304096,100.0,20.0,100.0,100.0,34,2
Raivis Jurkovskis,1996-12-09,19.6868,FC Riga,Virsliga,1.0938626418674957,0.3932987542874001,0.8669768260603925,0.7465666641012658,100.0,70.0,100.0,90.0,28,2
Mohammed Aboulshamat,2002-08-11,14.6468,Al-Qadsiah FC,Saudi Pro League,0.3583296475032467,0.420395085720664,1.1591272493179705,0.7404114716959683,72.22222222222221,72.22222222222221,94.44444444444444,94.44444444444444,22,2
Louis Patris,2001-06-07,17.4755,VV St. Truiden,Jupiler Pro League,-0.6454608069821278,0.6459457206544028,1.4191688107414175,0.7356148056662533,14.285714285714285,90.47619047619048,100.0,100.0,23,2
Alistair Johnston,1998-10-08,22.85,Celtic Glasgow,Scottish Premiership,1.578529767151243,-0.1119196782916605,1.01870489026367,0.734951266646819,93.75,62.5,93.75,93.75,26,2
Marco Sangalli,1992-02-07,11.4895,Racing Santander,LaLiga2,0.3736008334458471,0.65785345334466,0.9339921593174018,0.7252653470526312,63.63636363636363,90.9090909090909,100.0,100.0,33,2
Alec Georgen,1998-09-17,19.1623,USL Dunkerque,Ligue 2,1.045026734504305,0.6527564602407439,0.6376341347600132,0.7244054686271273,92.3076923076923,84.61538461538461,92.3076923076923,100.0,26,2
David Bruno,1992-02-14,9.6442,FC Alverca,Liga Portugal 2,2.350536166031399,-0.6712078700522852,1.0800218342263024,0.7211943040898161,100.0,22.727272727272727,100.0,100.0,33,2
Salvatore Elia,1999-06-30,11.7135,Spezia Calcio,Serie B,-0.3104306817475493,0.4450282016093322,1.392108591693091,0.7201226004756474,31.25,84.375,100.0,100.0,25,2
Towa Yamane,1999-02-05,30.4084,Yokohama FC,J2 League,0.9283028416609332,-0.3764216681548197,1.469925615942291,0.7153795116520308,86.11111111111111,33.33333333333333,100.0,97.2222222222222,26,2
Achraf Hakimi,1998-11-04,18.261,FC Paris Saint-Germain,Ligue 1,1.4108091026481748,-0.5131418410439947,1.3578974053501018,0.7136160085717826,100.0,21.052631578947366,100.0,100.0,26,2
Marco Pledl,2000-12-13,9.8048,SC Paderborn 07 II,Regionalliga West,0.5898949813969944,0.161394194375983,1.1965445829401586,0.7129120266340644,80.0,60.0,95.0,100.0,24,2
Fahad Al-Jumaiya,1995-05-10,11.1945,Al-Taawoun FC,Saudi Pro League,0.4467820630949119,0.7077493403743611,0.8279250069911015,0.7096349348960045,83.33333333333334,83.33333333333334,83.33333333333334,88.88888888888889,30,2
Pascal Fallmann,2003-11-07,16.5267,FC Erzgebirge Aue,3. Liga,1.2198479702352374,0.0214485030067271,1.00932377890242,0.705672270605491,96.55172413793105,51.72413793103448,100.0,100.0,21,2
Seiya Maikuma,1997-10-16,13.5563,Cerezo Osaka,J1 League,1.680102246900412,0.2559871029610781,0.6127803592352967,0.7013670970723433,100.0,78.57142857142857,96.42857142857144,100.0,27,2
Mads Thychosen,1997-06-27,19.1792,AIK Solna,Allsvenskan,0.3888590141562628,0.958317465989606,0.6403779798873027,0.7013530068769009,66.66666666666666,100.0,91.66666666666666,100.0,27,0
Cesar Blackman,1998-04-02,13.5354,Slovan Bratislava,Fortuna Liga,1.317108985383648,0.3367303103295424,0.7041629438321133,0.6981507304165204,100.0,77.77777777777779,96.29629629629628,100.0,27,2
Axel Sjöberg,2000-04-12,13.0146,St. Patrick's Athletic,Irish Premier Division,1.1596952655649038,0.5796585875255387,0.5834082037276386,0.6973532504243567,100.0,86.66666666666667,86.66666666666667,100.0,25,2
Derrick Abu,2003-12-18,11.3,FC Southampton U21,Premier League 2,0.8162403197016647,-0.0514616464036709,1.2255703567884928,0.69674314825387,84.61538461538461,53.84615384615385,100.0,100.0,21,2
João Mário,2000-01-03,10.4527,FC Porto,Liga Portugal Bwin,1.047459038283831,-0.8865470948983137,1.7722278969429728,0.6967028780666942,100.0,8.695652173913043,100.0,100.0,25,2
Ethan Galbraith,2001-05-11,13.8346,Leyton Orient,League One,0.7870344736667084,0.8312998897201774,0.5417938812272279,0.6921691026876563,87.87878787878788,90.9090909090909,87.87878787878788,100.0,24,0
Uba Charles,2002-10-10,13.6953,Lillestrøm SK,Eliteserien,-0.2668504554593069,0.8888927214626063,0.9561252112993526,0.6879987065047595,34.61538461538461,92.3076923076923,92.3076923076923,96.15384615384616,22,2
Jannis Turtschan,2001-10-21,12.3014,FC St. Pauli II,Regionalliga Nord,0.1161432869176468,0.5815588297097124,1.018106634391256,0.684922233257994,57.89473684210527,78.94736842105263,100.0,94.73684210526316,23,2
Léo Oliveira,2001-12-08,8.7979,Ituano FC (SP),Campeonato Brasileiro Série B,-0.2669971755710008,1.436129697240244,0.5185658537088123,0.6826005930888507,33.33333333333333,100.0,83.33333333333334,96.66666666666669,23,0
Fabricio Bustos,1996-04-28,9.1031,SC Internacional Porto Alegre,Campeonato Brasileiro Série A,0.7149726134413141,1.0096444067773138,0.4062716784454006,0.6791923203607529,82.85714285714286,94.28571428571428,82.85714285714286,97.14285714285714,29,0
Jiri Nissinen,1997-05-30,11.022,IFK Mariehamn,Veikkausliiga,-0.2011431306807344,1.1860195655802244,0.6736146307163526,0.6780048056392903,50.0,100.0,92.85714285714286,100.0,27,0
Yevgen Yefremov,1994-01-17,9.1669,FA Siauliai,A Lyga,0.3522582266534877,-0.1771829394159529,1.4774032305074585,0.6732690702634704,72.72727272727273,54.54545454545454,100.0,100.0,31,2
José Quintero,1990-06-20,13.4757,LDU Quito,LigaPro Serie A Primera Etapa,0.2202717042090376,0.0924755480932566,1.322234619278223,0.6714263613496477,65.0,50.0,95.0,95.0,34,2
Jan Kopic,1990-06-04,10.8599,FC Viktoria Pilsen,Fortuna Liga,0.6056052202785988,-0.2976489707952471,1.4506282157663457,0.6697266013722389,81.48148148148148,37.03703703703704,100.0,96.29629629629628,34,2
Leon Sommer,2001-03-10,14.4383,VfB Lübeck,Regionalliga Nord,0.0986198094146682,1.1664606318624753,0.528609790875738,0.6658595889288821,47.368421052631575,100.0,84.21052631578947,89.47368421052632,24,0
Samed Bahar,1997-10-20,20.0408,TSV Buchbach,Regionalliga Bayern,0.8726782995568338,1.0180686595834825,0.2844533194389868,0.6588636845131297,93.75,100.0,87.5,100.0,27,0
Heri Tavares,1997-02-19,8.4254,Maccabi Netanya,Ligat ha'Al,-0.2331188873204699,0.2779973378324133,1.3509904585910322,0.6586209971432152,33.33333333333333,73.33333333333333,100.0,100.0,28,2
Matthew Hayden,,14.6178,Brighton & Hove Albion U18,U18 Premier League ,0.956569415007388,0.2962910121409524,0.8070859682168422,0.6582044229483899,100.0,61.53846153846154,100.0,100.0,0,2
Jack Hunt,1990-12-06,8.6024,Bristol Rovers,League One,0.9019926903079164,0.3824847568826513,0.7626986568089823,0.6574825985345533,93.93939393939394,69.6969696969697,90.9090909090909,96.96969696969695,34,2
Jack Waldron,2005-11-28,9.261,Sheffield United U23,U23 Professional Development League,-0.7530546074093206,1.288575192728445,0.7921482850000537,0.6568571242231157,25.0,100.0,100.0,100.0,19,0
Emil Holm,2000-05-13,8.309,FC Bologna,Serie A,0.0029858648832401,1.5062531486664463,0.2841279468693505,0.6556433511011119,40.0,100.0,76.0,100.0,25,0
Moris Valincic,2002-11-17,15.4403,NK Istra 1961,1.HNL,1.257609057246132,1.1408694515314337,0.0076934707137731,0.6542881813064261,100.0,100.0,50.0,100.0,22,0
Simón Ramírez,1998-11-03,18.546,Unión Española,Primera División de Chile,1.566895815916706,0.19865101937951,0.589770088788869,0.6483035599211608,95.23809523809524,57.14285714285714,85.71428571428571,100.0,26,2
Iñaki Rupérez,2003-01-07,18.0064,Real Sociedad B,Primera Federación - Grupo I,0.272873808409977,1.2296356482338404,0.3584974526603939,0.6462710922610168,63.63636363636363,100.0,86.36363636363636,100.0,22,0
Jonjoe Kenny,1997-03-15,23.0,Hertha BSC,2. Bundesliga,1.1686730085505388,0.7263242267814933,0.3455332453807639,0.6434380415049742,100.0,89.47368421052632,78.94736842105263,100.0,28,0
Lucas Morales,1999-11-25,18.8453,Montevideo Wanderers,Primera División Apertura,-0.2144619517235717,1.025936348962675,0.7265906224703117,0.6431511119038621,40.0,94.54545454545456,94.54545454545456,98.1818181818182,25,0
Danny Finlayson,2001-01-19,15.1819,Livingston FC,Scottish Championship,1.496907644307454,-0.0008138182677154,0.7452349465581793,0.6344524184189712,100.0,77.77777777777779,88.88888888888889,88.88888888888889,24,2
Eirô,2001-01-06,11.5994,FC Felgueiras 1932,Liga Portugal 2,0.885922712946276,1.4024377264706378,-0.0754840846678,0.6340699087534684,95.45454545454544,100.0,50.0,95.45454545454544,24,0
Facundo Mater,1998-07-23,24.2764,CA Barracas Central,Liga Profesional de Fútbol,0.591524500145632,1.0885270439763062,0.2946197856883118,0.6318682689805739,75.0,96.15384615384616,75.0,96.15384615384616,26,0
Muhlis Dağaşan,2004-08-09,8.4302,PSV Eindhoven II,Keuken Kampioen Divisie,0.2624768720218826,0.1239337374313118,1.1890498011348818,0.6309445930160325,67.85714285714286,60.71428571428571,100.0,100.0,20,2
Juan Pintado,1997-07-28,36.579,Club de Gimnasia y Esgrima La Plata,Liga Profesional de Fútbol,0.7029605129338188,0.0869157117273467,1.017730705762908,0.6289914192846437,80.76923076923077,59.61538461538461,98.07692307692308,94.23076923076924,27,2
Ahmed Iljazovski,1997-07-31,11.2302,Hvidovre IF,1.Division,0.990907600576208,1.1482185380557783,0.0612169651553204,0.6276056427546582,90.9090909090909,100.0,63.63636363636363,100.0,27,0
Jelle Bataille,1999-05-20,12.117,Royal Antwerpen FC,Jupiler Pro League,1.1316255357522196,1.1509172405742465,-0.0046735097332945,0.6270430619714477,100.0,95.23809523809524,57.14285714285714,95.23809523809524,26,0
Elias Baum,2005-10-26,23.3485,SV 07 Elversberg,2. Bundesliga,-0.1432869598586741,1.0938803950373597,0.6060618681529393,0.6269285869601637,42.10526315789473,100.0,94.73684210526316,94.73684210526316,19,0
Josh Dacres-Cogley,1996-03-12,21.1461,Bolton Wanderers,League One,0.8526764458240655,0.0001164248903508,1.011731653240339,0.6258552818345885,90.9090909090909,60.60606060606061,93.93939393939394,93.93939393939394,29,2
Ítalo,2002-06-28,8.0242,FC Vizela,Liga Portugal 2,0.174834812981196,0.7566455199819524,0.7191608747774874,0.6234152882397919,68.18181818181817,86.36363636363636,90.9090909090909,90.9090909090909,22,0
Ivan Smolcic,2000-08-17,17.3143,HNK Rijeka,1.HNL,0.7626248872201007,1.0680589701585077,0.2153368771398247,0.6232472117124189,80.0,90.0,80.0,90.0,24,0
Toshiki Mori,1997-08-29,9.2759,Tochigi SC,J2 League,-0.3398742470462084,0.5993065936971289,1.068949109928017,0.622809557852361,30.555555555555557,83.33333333333334,91.66666666666666,94.44444444444444,27,2
Andy Polo,1994-09-29,32.5006,Universitario de Deportes,Liga 1 Apertura,0.6135998672632805,-0.2478897763997975,1.3017711976395612,0.6217555906505295,82.75862068965517,37.93103448275862,96.55172413793105,96.55172413793105,30,2
Dieguinho,1995-10-31,27.8235,Goiás EC,Campeonato Brasileiro Série B,0.5012238558223728,0.1663777962180795,1.027166499874139,0.620701924784165,83.33333333333334,56.666666666666664,100.0,93.33333333333331,29,2
Tautvydas Burdzilauskas,2005-05-18,15.83,FK Suduva Marijampole,A Lyga,-0.4587133532247436,1.1951109253546388,0.6490341611034345,0.6186115257257203,27.27272727272727,100.0,81.81818181818183,90.9090909090909,20,0
Casimiro,1998-12-14,13.5129,UD Oliveirense,Liga Portugal 2,0.0064014114808824,1.1053840188836097,0.5073760913215981,0.616483930000159,54.54545454545454,95.45454545454544,86.36363636363636,86.36363636363636,26,0
Oliver Sonne,2000-11-10,15.4298,Silkeborg IF,Superligaen,1.0784242405486115,0.1801350357842452,0.7476782453942854,0.6151873210616365,90.9090909090909,63.63636363636363,100.0,100.0,24,2
Luuk Verheij,2005-07-23,8.1484,FC Eindhoven,Keuken Kampioen Divisie,0.4244423404152652,1.4074160624702838,0.078966092521556,0.6130188315823526,71.42857142857143,100.0,64.28571428571429,96.42857142857144,19,0
Luis Görlich,2000-04-01,18.558,Bryne FK,OBOS-ligaen,-0.1116137060582496,0.4302943534607024,1.07087236700683,0.6101728476526694,60.0,85.0,95.0,95.0,25,2
Marios Vrousai,1998-07-02,20.5117,Rio Ave FC,Liga Portugal Bwin,0.5440385349911433,0.8640188984933005,0.4416575335209077,0.6099602115552922,73.91304347826086,91.30434782608695,82.6086956521739,95.65217391304348,26,0
Young-woo Seol,1998-12-05,11.1441,Roter Stern Belgrad,Super liga Srbije,2.146716146452172,-0.0659615893077993,0.4330186506349326,0.6011150658184243,100.0,42.10526315789473,84.21052631578947,94.73684210526316,26,1
Víctor García,1994-06-11,16.3627,Cultural Leonesa,Primera Federación - Grupo I,1.3676764709909777,0.2157857533168226,0.559410405838337,0.6007949904863352,100.0,59.09090909090909,90.9090909090909,95.45454545454544,30,2
Mark Pabai,2000-09-30,9.5083,FC Koper,Prva Liga,0.6723658676018854,0.0898294189297758,0.9653282741382604,0.6003111935080158,84.61538461538461,61.53846153846154,100.0,84.61538461538461,24,2
José Corpas,1991-07-07,18.222,SD Eibar,LaLiga2,1.079701030637055,0.224450549979337,0.6790051358084126,0.6000502097339646,100.0,63.63636363636363,93.93939393939394,96.96969696969695,33,2
Bernardo Cerezo,1995-01-21,17.8731,CD Ñublense,Primera División de Chile,0.1772438960492459,0.5748809391205173,0.8061597379296574,0.5994289899703762,66.66666666666666,90.47619047619048,95.23809523809524,95.23809523809524,30,2
Edoardo Pierozzi,2001-09-12,18.6539,Delfino Pescara 1936,Serie C - Girone B,1.1079601717554093,0.8520094354551622,0.1689287542350355,0.5958132761661546,93.33333333333331,90.0,70.0,100.0,23,0
Carlos Isaac,1998-04-30,13.4175,FC Córdoba,LaLiga2,1.0174742478661567,0.084006353707502,0.8052258057498305,0.5952486859582807,96.96969696969695,51.51515151515152,96.96969696969695,93.93939393939394,27,2
Simon Geiger,2002-03-16,12.7435,FC Wil 1900,Challenge League,0.4146328342156331,1.3787779767963435,0.0653907301526874,0.5949246872905561,84.61538461538461,100.0,61.53846153846154,100.0,23,0
Elsinho,1989-11-30,24.443,Tokushima Vortis,J2 League,1.2780115499647091,0.1304788252506628,0.6486609486857529,0.5931673257392626,97.2222222222222,55.55555555555556,88.88888888888889,91.66666666666666,35,2
Emmanuele Salines,2000-11-08,15.9225,Calcio Foggia 1920,Serie C - Girone C,1.3922627611544367,0.1147225086669537,0.6057989358005617,0.5912149513745739,100.0,68.18181818181817,95.45454545454544,95.45454545454544,24,2
Nico Neidhart,1994-09-27,16.5426,FC Hansa Rostock,3. Liga,0.581073253268242,0.1286161185831538,0.9515287516741248,0.5894182304111084,82.75862068965517,65.51724137931035,96.55172413793105,96.55172413793105,30,2
Karem Jaber,2000-10-31,9.696,Maccabi Netanya,Ligat ha'Al,0.4145550546829489,0.7045073804708417,0.5708206068618736,0.5863578671892276,80.0,93.33333333333331,93.33333333333331,93.33333333333331,24,0
William,1995-04-03,32.6678,EC Cruzeiro Belo Horizonte,Campeonato Brasileiro Série A,0.4183952944975316,0.3369891507819924,0.849891149474657,0.5840762789367994,71.42857142857143,68.57142857142857,100.0,94.28571428571428,30,2
Bruno Gomes,2001-04-04,19.8715,SC Internacional Porto Alegre,Campeonato Brasileiro Série A,0.8338618674120462,0.8183351068466189,0.2902432780190025,0.583799135987277,85.71428571428571,91.42857142857144,71.42857142857143,91.42857142857144,24,0
Carlos Akapo,1993-03-12,16.8914,San Jose Earthquakes,Major League Soccer,0.4344756193676811,1.4376979955024154,-0.0146354650208342,0.5835034630400062,72.97297297297297,100.0,48.64864864864865,94.5945945945946,32,0
Kevin Méndez,1996-01-10,9.9043,CD Everton,Primera División de Chile,-0.2329486535224694,-0.1798204661148062,1.5356955852042669,0.581536119497244,52.38095238095239,33.33333333333333,100.0,90.47619047619048,29,2
Alessandro Pietrelli,2003-01-05,16.3827,Feralpisalò,Serie C - Girone A,-0.2976935274133336,-0.2630159148982489,1.6117241751968234,0.5736816031415167,40.74074074074074,37.03703703703704,100.0,96.29629629629628,22,2
Marc Lachèvre,2002-04-23,12.367,AD Alcorcón,Primera Federación - Grupo II,0.087769851365197,0.7441469802434277,0.652507671152593,0.571633865376906,53.84615384615385,92.3076923076923,92.3076923076923,96.15384615384616,23,0
Marius Andresen,1999-12-21,19.8606,Moss FK,OBOS-ligaen,-0.3395833040695282,0.1535141146376187,1.3004016307780066,0.5709940131593639,35.0,60.0,100.0,90.0,25,2
Keigo Tsunemoto,1998-10-21,25.6849,Servette FC,Super League,0.6411035380515665,1.1144799645134025,0.1162829022976908,0.5706160012239649,100.0,100.0,56.25,100.0,26,0
Oliver Braude,2004-02-21,14.9713,SC Heerenveen,Eredivisie,0.4297813187957514,1.4618133495521315,-0.0610595587339899,0.5701141346721009,73.68421052631578,100.0,63.1578947368421,94.73684210526316,21,0
Ole Schulz,2003-09-01,17.2716,SV Werder Bremen II,Regionalliga Nord,1.4928501873254518,0.5485558769950092,0.1408644654073511,0.5539536038466516,100.0,73.68421052631578,63.1578947368421,84.21052631578947,21,0
Tom Lavery,2005-12-19,13.2695,AFC Sunderland U21,Premier League 2,0.2820861940210606,1.131874459876739,0.2224904868159137,0.552694018828232,61.53846153846154,100.0,76.92307692307693,92.3076923076923,19,0
Cláudio Winck,1994-04-15,21.9296,Kasimpasa,Süper Lig,0.3258070971694137,0.2512136657335272,0.8763362769316931,0.5474375270598792,63.63636363636363,68.18181818181817,100.0,100.0,31,2
Tin Hrvoj,2001-06-06,10.8419,FK Auda,Virsliga,0.810614020864424,0.0159471547196225,0.837051831037708,0.5443776322917213,80.0,60.0,90.0,80.0,23,2
Rodinei,1992-01-29,13.9936,Olympiakos Piräus,Super League 1,0.8121763877564738,-0.3721846707299329,1.1370917187027454,0.5438619162120537,94.73684210526316,21.052631578947366,94.73684210526316,94.73684210526316,33,2
Ángel Pérez,1989-10-07,15.8126,Sport Huancayo,Liga 1 Apertura,1.0194299009486767,0.6526714338885854,0.239548511746005,0.5401178123364425,93.10344827586206,86.20689655172413,79.3103448275862,93.10344827586206,35,0
